age_BP,median,q05,q95
1444,-0.0304,-0.1512,0.0767
1454,-0.0306,-0.1510,0.0769
1464,-0.0367,-0.1559,0.0703
1474,-0.0551,-0.1741,0.0514
1484,-0.0637,-0.1827,0.0425
1494,-0.0635,-0.1823,0.0434
1504,-0.0499,-0.1683,0.0568
1514,-0.0454,-0.1646,0.0635
1524,-0.0388,-0.1578,0.0690
1534,-0.0240,-0.1434,0.0830
1544,-0.0064,-0.1255,0.1005
1554,-0.0165,-0.1357,0.0903
1564,-0.0069,-0.1259,0.1003
1574,-0.0067,-0.1264,0.1010
1584,-0.0161,-0.1354,0.0905
1594,-0.0361,-0.1555,0.0713
1604,-0.0356,-0.1549,0.0710
1614,-0.0325,-0.1517,0.0738
1624,-0.0375,-0.1567,0.0683
1634,-0.0415,-0.1600,0.0641
1644,-0.0509,-0.1699,0.0553
1654,-0.0519,-0.1695,0.0547
1664,-0.0551,-0.1737,0.0513
1674,-0.0657,-0.1849,0.0408
1684,-0.0711,-0.1899,0.0353
1694,-0.0586,-0.1770,0.0478
1704,-0.0470,-0.1651,0.0592
1714,-0.0400,-0.1587,0.0662
1724,-0.0397,-0.1584,0.0666
1734,-0.0299,-0.1478,0.0767
1744,-0.0288,-0.1456,0.0774
1754,-0.0249,-0.1401,0.0824
1764,-0.0330,-0.1482,0.0739
1774,-0.0264,-0.1438,0.0803
1784,-0.0288,-0.1462,0.0780
1794,-0.0094,-0.1271,0.0975
1804,-0.0048,-0.1229,0.1021
1814,-0.0136,-0.1308,0.0934
1824,-0.0141,-0.1315,0.0931
1834,-0.0117,-0.1302,0.0950
1844,-0.0186,-0.1366,0.0887
1854,-0.0354,-0.1542,0.0716
1864,-0.0452,-0.1642,0.0612
1874,-0.0451,-0.1631,0.0613
1884,-0.0404,-0.1584,0.0674
1894,-0.0359,-0.1553,0.0698
1904,-0.0322,-0.1519,0.0738
1914,-0.0305,-0.1483,0.0754
1924,-0.0268,-0.1445,0.0800
1934,-0.0170,-0.1344,0.0893
1944,-0.0186,-0.1361,0.0880
1954,-0.0180,-0.1357,0.0886
1964,-0.0155,-0.1349,0.0910
1974,-0.0230,-0.1429,0.0832
1984,-0.0393,-0.1591,0.0680
1994,-0.0321,-0.1515,0.0754
2004,-0.0362,-0.1546,0.0711
2014,-0.0316,-0.1503,0.0759
2024,-0.0256,-0.1449,0.0819
2034,-0.0274,-0.1465,0.0800
2044,-0.0206,-0.1396,0.0866
2054,-0.0192,-0.1383,0.0877
2064,-0.0143,-0.1336,0.0917
2074,-0.0166,-0.1356,0.0900
2084,-0.0057,-0.1251,0.1019
2094,-0.0114,-0.1309,0.0961
2104,-0.0137,-0.1329,0.0944
2114,-0.0238,-0.1437,0.0849
2124,-0.0241,-0.1441,0.0847
2134,-0.0367,-0.1564,0.0721
2144,-0.0322,-0.1515,0.0768
2154,-0.0400,-0.1599,0.0678
2164,-0.0364,-0.1555,0.0708
2174,-0.0254,-0.1445,0.0822
2184,-0.0182,-0.1370,0.0895
2194,-0.0105,-0.1290,0.0974
2204,-0.0088,-0.1280,0.0989
2214,0.0035,-0.1153,0.1112
2224,-0.0016,-0.1209,0.1056
2234,0.0061,-0.1125,0.1133
2244,0.0080,-0.1097,0.1153
2254,0.0106,-0.1074,0.1175
2264,0.0122,-0.1056,0.1195
2274,0.0202,-0.0971,0.1278
2284,0.0128,-0.1058,0.1199
2294,0.0067,-0.1104,0.1139
2304,0.0202,-0.0975,0.1273
2314,0.0056,-0.1125,0.1119
2324,0.0152,-0.1028,0.1220
2334,0.0108,-0.1081,0.1178
2344,0.0055,-0.1128,0.1133
2354,0.0170,-0.1014,0.1249
2364,0.0209,-0.0970,0.1286
2374,0.0191,-0.0985,0.1278
2384,0.0112,-0.1069,0.1199
2394,0.0044,-0.1136,0.1133
2404,-0.0039,-0.1218,0.1052
2414,-0.0270,-0.1440,0.0806
2424,-0.0287,-0.1467,0.0778
2434,-0.0299,-0.1485,0.0767
2444,-0.0151,-0.1336,0.0920
2454,-0.0104,-0.1289,0.0963
2464,-0.0107,-0.1292,0.0965
2474,0.0021,-0.1159,0.1100
2484,0.0093,-0.1093,0.1171
2494,0.0102,-0.1089,0.1182
2504,0.0135,-0.1048,0.1229
2514,0.0123,-0.1063,0.1199
2524,0.0077,-0.1108,0.1150
2534,0.0117,-0.1071,0.1188
2544,0.0123,-0.1066,0.1193
2554,0.0055,-0.1127,0.1128
2564,0.0184,-0.0996,0.1259
2574,0.0182,-0.1003,0.1271
2584,0.0094,-0.1079,0.1188
2594,0.0166,-0.1005,0.1251
2604,0.0220,-0.0955,0.1299
2614,0.0133,-0.1039,0.1211
2624,0.0149,-0.1023,0.1223
2634,0.0150,-0.1023,0.1223
2644,0.0054,-0.1124,0.1130
2654,0.0108,-0.1079,0.1177
2664,0.0141,-0.1063,0.1215
2674,0.0191,-0.1006,0.1260
2684,0.0059,-0.1143,0.1128
2694,0.0065,-0.1137,0.1132
2704,0.0012,-0.1179,0.1085
2714,0.0028,-0.1165,0.1101
2724,0.0087,-0.1111,0.1159
2734,0.0162,-0.1036,0.1233
2744,0.0201,-0.0998,0.1272
2754,0.0202,-0.0992,0.1272
2764,0.0241,-0.0959,0.1320
2774,0.0216,-0.0992,0.1288
2784,0.0060,-0.1139,0.1118
2794,-0.0158,-0.1346,0.0911
2804,-0.0253,-0.1439,0.0809
2814,-0.0341,-0.1511,0.0726
2824,-0.0379,-0.1543,0.0690
2834,-0.0303,-0.1463,0.0765
2844,-0.0147,-0.1312,0.0925
2854,-0.0037,-0.1202,0.1043
2864,0.0033,-0.1134,0.1109
2874,0.0150,-0.1019,0.1217
2884,0.0098,-0.1086,0.1170
2894,0.0049,-0.1148,0.1114
2904,-0.0090,-0.1284,0.0977
2914,-0.0235,-0.1436,0.0828
2924,-0.0265,-0.1456,0.0797
2934,-0.0272,-0.1464,0.0799
2944,-0.0261,-0.1458,0.0807
2954,-0.0232,-0.1432,0.0834
2964,-0.0205,-0.1397,0.0870
2974,-0.0202,-0.1390,0.0872
2984,-0.0208,-0.1405,0.0861
2994,-0.0193,-0.1388,0.0876
3004,-0.0089,-0.1289,0.0967
3014,-0.0053,-0.1262,0.0998
3024,0.0059,-0.1143,0.1119
3034,0.0044,-0.1174,0.1106
3044,0.0010,-0.1203,0.1065
3054,-0.0026,-0.1233,0.1028
3064,-0.0104,-0.1326,0.0955
3074,-0.0192,-0.1408,0.0875
3084,-0.0034,-0.1240,0.1033
3094,0.0007,-0.1200,0.1071
3104,0.0080,-0.1127,0.1146
3114,0.0048,-0.1156,0.1121
3124,0.0063,-0.1135,0.1136
3134,0.0012,-0.1188,0.1090
3144,-0.0064,-0.1274,0.1009
3154,-0.0054,-0.1261,0.1016
3164,-0.0041,-0.1245,0.1035
3174,0.0006,-0.1203,0.1079
3184,0.0030,-0.1178,0.1099
3194,0.0047,-0.1154,0.1114
3204,0.0003,-0.1205,0.1070
3214,-0.0195,-0.1402,0.0864
3224,-0.0217,-0.1418,0.0838
3234,-0.0148,-0.1355,0.0911
3244,-0.0147,-0.1352,0.0905
3254,-0.0029,-0.1248,0.1020
3264,0.0048,-0.1177,0.1101
3274,0.0036,-0.1175,0.1086
3284,-0.0005,-0.1205,0.1014
3294,-0.0046,-0.1257,0.0962
3304,-0.0195,-0.1395,0.0810
3314,-0.0252,-0.1459,0.0763
3324,-0.0134,-0.1329,0.0875
3334,-0.0213,-0.1417,0.0802
3344,-0.0265,-0.1474,0.0752
3354,-0.0310,-0.1514,0.0714
3364,-0.0387,-0.1590,0.0627
3374,-0.0345,-0.1538,0.0660
3384,-0.0358,-0.1547,0.0638
3394,-0.0327,-0.1522,0.0664
3404,-0.0299,-0.1510,0.0693
3414,-0.0326,-0.1553,0.0670
3424,-0.0302,-0.1545,0.0686
3434,-0.0276,-0.1513,0.0717
3444,-0.0361,-0.1593,0.0633
3454,-0.0454,-0.1669,0.0552
3464,-0.0623,-0.1840,0.0380
3474,-0.0657,-0.1881,0.0348
3484,-0.0615,-0.1847,0.0395
3494,-0.0443,-0.1660,0.0577
3504,-0.0435,-0.1650,0.0584
3514,-0.0398,-0.1620,0.0595
3524,-0.0320,-0.1534,0.0688
3534,-0.0269,-0.1488,0.0748
3544,-0.0326,-0.1546,0.0694
3554,-0.0296,-0.1515,0.0711
3564,-0.0243,-0.1458,0.0768
3574,-0.0230,-0.1454,0.0776
3584,-0.0260,-0.1488,0.0752
3594,-0.0212,-0.1435,0.0806
3604,-0.0080,-0.1311,0.0947
3614,-0.0004,-0.1221,0.1006
3624,0.0021,-0.1200,0.1037
3634,0.0036,-0.1172,0.1050
3644,-0.0084,-0.1300,0.0953
3654,-0.0165,-0.1373,0.0872
3664,-0.0250,-0.1472,0.0776
3674,-0.0191,-0.1409,0.0818
3684,-0.0168,-0.1388,0.0833
3694,-0.0181,-0.1398,0.0839
3704,-0.0222,-0.1445,0.0790
3714,-0.0280,-0.1501,0.0734
3724,-0.0370,-0.1599,0.0650
3734,-0.0422,-0.1665,0.0598
3744,-0.0462,-0.1731,0.0562
3754,-0.0501,-0.1785,0.0527
3764,-0.0492,-0.1777,0.0547
3774,-0.0302,-0.1571,0.0734
3784,-0.0262,-0.1539,0.0769
3794,-0.0330,-0.1598,0.0717
3804,-0.0392,-0.1661,0.0664
3814,-0.0290,-0.1549,0.0775
3824,-0.0335,-0.1601,0.0719
3834,-0.0207,-0.1462,0.0856
3844,-0.0236,-0.1493,0.0825
3854,-0.0327,-0.1588,0.0722
3864,-0.0359,-0.1614,0.0682
3874,-0.0340,-0.1588,0.0695
3884,-0.0355,-0.1605,0.0682
3894,-0.0164,-0.1414,0.0878
3904,-0.0107,-0.1367,0.0943
3914,-0.0129,-0.1376,0.0926
3924,-0.0148,-0.1417,0.0898
3934,-0.0120,-0.1385,0.0934
3944,-0.0104,-0.1358,0.0942
3954,-0.0090,-0.1343,0.0961
3964,-0.0118,-0.1391,0.0937
3974,-0.0238,-0.1508,0.0819
3984,-0.0205,-0.1481,0.0871
3994,-0.0129,-0.1399,0.0952
4004,-0.0095,-0.1364,0.0988
4014,-0.0099,-0.1369,0.0976
4024,-0.0085,-0.1357,0.0983
4034,-0.0097,-0.1353,0.0973
4044,-0.0047,-0.1315,0.1013
4054,0.0002,-0.1253,0.1085
4064,-0.0042,-0.1313,0.1045
4074,-0.0002,-0.1258,0.1091
4084,0.0120,-0.1146,0.1206
4094,0.0191,-0.1058,0.1279
4104,0.0193,-0.1046,0.1290
4114,0.0061,-0.1181,0.1156
4124,-0.0050,-0.1297,0.1033
4134,-0.0085,-0.1336,0.0982
4144,0.0001,-0.1242,0.1068
4154,-0.0009,-0.1262,0.1065
4164,-0.0079,-0.1334,0.0998
4174,-0.0117,-0.1367,0.0963
4184,-0.0125,-0.1392,0.0943
4194,-0.0088,-0.1348,0.0979
4204,-0.0012,-0.1274,0.1055
4214,-0.0027,-0.1288,0.1052
4224,-0.0027,-0.1269,0.1054
4234,0.0115,-0.1136,0.1190
4244,0.0073,-0.1179,0.1153
4254,0.0048,-0.1198,0.1127
4264,0.0026,-0.1228,0.1101
4274,0.0091,-0.1166,0.1168
4284,0.0158,-0.1115,0.1237
4294,0.0196,-0.1064,0.1285
4304,0.0174,-0.1085,0.1267
4314,0.0354,-0.0900,0.1438
4324,0.0393,-0.0854,0.1485
4334,0.0405,-0.0843,0.1501
4344,0.0420,-0.0818,0.1519
4354,0.0368,-0.0862,0.1472
4364,0.0320,-0.0910,0.1424
4374,0.0247,-0.0984,0.1358
4384,0.0221,-0.1011,0.1324
4394,0.0138,-0.1091,0.1230
4404,-0.0015,-0.1242,0.1081
4414,-0.0050,-0.1274,0.1043
4424,-0.0015,-0.1243,0.1082
4434,0.0045,-0.1187,0.1142
4444,-0.0015,-0.1233,0.1098
4454,0.0029,-0.1195,0.1131
4464,0.0158,-0.1053,0.1263
4474,0.0113,-0.1100,0.1229
4484,-0.0012,-0.1215,0.1084
4494,0.0051,-0.1167,0.1140
4504,0.0096,-0.1150,0.1189
4514,-0.0173,-0.1405,0.0920
4524,-0.0247,-0.1485,0.0872
4534,-0.0130,-0.1362,0.0985
4544,-0.0000,-0.1221,0.1118
4554,0.0061,-0.1160,0.1172
4564,0.0205,-0.1003,0.1319
4574,0.0187,-0.1041,0.1302
4584,0.0300,-0.0910,0.1426
4594,0.0381,-0.0842,0.1498
4604,0.0348,-0.0877,0.1473
4614,0.0234,-0.0999,0.1351
4624,0.0128,-0.1101,0.1248
4634,0.0166,-0.1042,0.1285
4644,0.0259,-0.0972,0.1389
4654,0.0366,-0.0863,0.1506
4664,0.0434,-0.0795,0.1542
4674,0.0411,-0.0830,0.1518
4684,0.0359,-0.0871,0.1482
4694,0.0167,-0.1073,0.1286
4704,0.0204,-0.1029,0.1334
4714,0.0146,-0.1087,0.1264
4724,0.0075,-0.1137,0.1190
4734,-0.0075,-0.1297,0.1042
4744,0.0009,-0.1227,0.1132
4754,0.0097,-0.1132,0.1231
4764,0.0042,-0.1182,0.1175
4774,0.0139,-0.1081,0.1272
4784,0.0054,-0.1168,0.1192
4794,-0.0001,-0.1227,0.1141
4804,-0.0011,-0.1229,0.1101
4814,-0.0050,-0.1260,0.1067
4824,-0.0077,-0.1285,0.1041
4834,-0.0065,-0.1278,0.1061
4844,-0.0171,-0.1380,0.0949
4854,-0.0182,-0.1382,0.0945
4864,-0.0113,-0.1310,0.1011
4874,-0.0135,-0.1357,0.0978
4884,-0.0191,-0.1399,0.0928
4894,-0.0343,-0.1551,0.0784
4904,-0.0435,-0.1643,0.0686
4914,-0.0302,-0.1508,0.0821
4924,-0.0429,-0.1639,0.0686
4934,-0.0479,-0.1683,0.0636
4944,-0.0433,-0.1638,0.0672
4954,-0.0304,-0.1501,0.0824
4964,-0.0347,-0.1560,0.0775
4974,-0.0281,-0.1487,0.0844
4984,-0.0304,-0.1509,0.0829
4994,-0.0384,-0.1585,0.0755
5004,-0.0476,-0.1681,0.0664
5014,-0.0543,-0.1746,0.0599
5024,-0.0617,-0.1831,0.0519
5034,-0.0651,-0.1874,0.0481
5044,-0.0615,-0.1839,0.0497
5054,-0.0498,-0.1705,0.0625
5064,-0.0418,-0.1640,0.0707
5074,-0.0218,-0.1449,0.0895
5084,-0.0232,-0.1478,0.0891
5094,-0.0172,-0.1417,0.0961
5104,-0.0180,-0.1434,0.0952
5114,-0.0163,-0.1396,0.0959
5124,-0.0163,-0.1389,0.0958
5134,-0.0238,-0.1498,0.0891
5144,-0.0357,-0.1620,0.0782
5154,-0.0273,-0.1540,0.0863
5164,-0.0215,-0.1475,0.0918
5174,-0.0316,-0.1552,0.0821
5184,-0.0206,-0.1458,0.0944
5194,-0.0291,-0.1540,0.0859
5204,-0.0155,-0.1395,0.0996
5214,-0.0262,-0.1494,0.0887
5224,-0.0199,-0.1447,0.0949
5234,-0.0405,-0.1649,0.0742
5244,-0.0294,-0.1535,0.0859
5254,-0.0151,-0.1390,0.0996
5264,-0.0092,-0.1332,0.1052
5274,-0.0032,-0.1263,0.1108
5284,-0.0108,-0.1339,0.1027
5294,-0.0321,-0.1546,0.0818
5304,-0.0220,-0.1456,0.0910
5314,-0.0352,-0.1589,0.0789
5324,-0.0087,-0.1319,0.1049
5334,0.0125,-0.1109,0.1263
5344,0.0185,-0.1048,0.1320
5354,0.0205,-0.1033,0.1337
5364,0.0081,-0.1153,0.1209
5374,-0.0005,-0.1229,0.1130
5384,0.0061,-0.1159,0.1195
5394,0.0019,-0.1202,0.1144
5404,0.0013,-0.1198,0.1156
5414,0.0037,-0.1177,0.1187
5424,-0.0021,-0.1253,0.1136
5434,-0.0087,-0.1324,0.1085
5444,-0.0080,-0.1317,0.1091
5454,-0.0147,-0.1382,0.1025
5464,-0.0161,-0.1380,0.1023
5474,-0.0186,-0.1403,0.0978
5484,-0.0211,-0.1431,0.0952
5494,-0.0311,-0.1538,0.0862
5504,-0.0396,-0.1629,0.0782
5514,-0.0381,-0.1594,0.0795
5524,-0.0247,-0.1465,0.0931
5534,-0.0234,-0.1460,0.0940
5544,-0.0197,-0.1421,0.0966
5554,-0.0224,-0.1447,0.0948
5564,-0.0205,-0.1402,0.0974
5574,-0.0146,-0.1347,0.1038
5584,-0.0158,-0.1349,0.1032
5594,0.0060,-0.1142,0.1253
5604,0.0267,-0.0936,0.1465
5614,0.0401,-0.0796,0.1605
5624,0.0297,-0.0911,0.1498
5634,0.0154,-0.1035,0.1366
5644,0.0183,-0.1031,0.1391
5654,0.0129,-0.1080,0.1341
5664,0.0116,-0.1072,0.1340
5674,0.0138,-0.1063,0.1361
5684,0.0251,-0.0953,0.1475
5694,0.0252,-0.0958,0.1474
5704,0.0290,-0.0922,0.1522
5714,0.0292,-0.0931,0.1529
5724,0.0163,-0.1071,0.1401
5734,0.0147,-0.1079,0.1381
5744,0.0166,-0.1110,0.1390
5754,0.0043,-0.1211,0.1271
5764,0.0043,-0.1218,0.1260
5774,-0.0056,-0.1320,0.1162
5784,0.0044,-0.1207,0.1264
5794,0.0076,-0.1175,0.1294
5804,0.0125,-0.1134,0.1350
5814,0.0196,-0.1064,0.1422
5824,0.0215,-0.1048,0.1445
5834,0.0145,-0.1102,0.1385
5844,0.0013,-0.1223,0.1261
5854,-0.0025,-0.1257,0.1216
5864,-0.0120,-0.1352,0.1128
5874,-0.0150,-0.1386,0.1099
5884,-0.0109,-0.1348,0.1147
5894,-0.0126,-0.1366,0.1133
5904,-0.0176,-0.1415,0.1079
5914,-0.0026,-0.1275,0.1233
5924,0.0013,-0.1210,0.1296
5934,-0.0047,-0.1276,0.1212
5944,-0.0030,-0.1253,0.1218
5954,-0.0009,-0.1239,0.1255
5964,0.0122,-0.1107,0.1384
5974,0.0165,-0.1058,0.1434
5984,0.0239,-0.0984,0.1511
5994,0.0288,-0.0925,0.1557
6004,0.0256,-0.0959,0.1521
6014,0.0170,-0.1026,0.1444
6024,0.0041,-0.1145,0.1328
6034,0.0136,-0.1052,0.1429
6044,0.0074,-0.1141,0.1357
6054,0.0095,-0.1108,0.1380
6064,0.0064,-0.1139,0.1349
6074,0.0116,-0.1081,0.1406
6084,0.0217,-0.0983,0.1518
6094,0.0205,-0.1005,0.1512
6104,0.0287,-0.0920,0.1603
6114,0.0234,-0.0965,0.1544
6124,0.0093,-0.1107,0.1409
6134,0.0106,-0.1093,0.1422
6144,0.0223,-0.0980,0.1537
6154,0.0245,-0.0960,0.1552
6164,0.0202,-0.0986,0.1517
6174,0.0049,-0.1151,0.1375
6184,-0.0006,-0.1203,0.1319
6194,-0.0034,-0.1221,0.1287
6204,-0.0111,-0.1302,0.1219
6214,-0.0107,-0.1298,0.1225
6224,-0.0059,-0.1255,0.1285
6234,0.0124,-0.1058,0.1461
6244,0.0092,-0.1063,0.1426
6254,0.0045,-0.1124,0.1375
6264,0.0143,-0.1025,0.1469
6274,0.0216,-0.0958,0.1547
6284,0.0319,-0.0848,0.1652
6294,0.0368,-0.0807,0.1708
6304,0.0469,-0.0716,0.1824
6314,0.0526,-0.0664,0.1869
6324,0.0622,-0.0570,0.1974
6334,0.0650,-0.0536,0.2017
6344,0.0634,-0.0534,0.1987
6354,0.0588,-0.0565,0.1938
6364,0.0674,-0.0488,0.2033
6374,0.0790,-0.0381,0.2139
6384,0.0827,-0.0347,0.2181
6394,0.0880,-0.0290,0.2242
6404,0.0816,-0.0351,0.2181
6414,0.0548,-0.0621,0.1926
6424,0.0370,-0.0792,0.1755
6434,0.0160,-0.1002,0.1547
6444,0.0065,-0.1098,0.1454
6454,0.0068,-0.1094,0.1444
6464,0.0018,-0.1161,0.1419
6474,0.0033,-0.1147,0.1411
6484,0.0035,-0.1153,0.1406
6494,-0.0056,-0.1246,0.1314
6504,-0.0149,-0.1338,0.1219
6514,-0.0065,-0.1255,0.1303
6524,-0.0018,-0.1208,0.1355
6534,-0.0029,-0.1223,0.1348
6544,-0.0062,-0.1264,0.1318
6554,-0.0027,-0.1208,0.1358
6564,-0.0012,-0.1190,0.1376
6574,-0.0033,-0.1209,0.1357
6584,-0.0030,-0.1196,0.1366
6594,-0.0067,-0.1230,0.1334
6604,-0.0005,-0.1165,0.1389
6614,-0.0058,-0.1230,0.1339
6624,0.0013,-0.1164,0.1414
6634,0.0057,-0.1093,0.1467
6644,0.0070,-0.1080,0.1477
6654,0.0165,-0.1003,0.1585
6664,0.0076,-0.1104,0.1489
6674,0.0025,-0.1158,0.1445
6684,0.0058,-0.1123,0.1482
6694,-0.0000,-0.1172,0.1419
6704,-0.0029,-0.1197,0.1383
6714,-0.0121,-0.1281,0.1286
6724,-0.0268,-0.1422,0.1131
6734,-0.0342,-0.1488,0.1055
6744,-0.0371,-0.1530,0.1022
6754,-0.0337,-0.1490,0.1060
6764,-0.0274,-0.1430,0.1124
6774,-0.0224,-0.1373,0.1180
6784,-0.0251,-0.1407,0.1148
6794,-0.0295,-0.1459,0.1121
6804,-0.0377,-0.1540,0.1037
6814,-0.0431,-0.1594,0.0987
6824,-0.0375,-0.1541,0.1037
6834,-0.0372,-0.1520,0.1034
6844,-0.0365,-0.1504,0.1045
6854,-0.0373,-0.1516,0.1034
6864,-0.0424,-0.1560,0.0978
6874,-0.0450,-0.1588,0.0940
6884,-0.0304,-0.1448,0.1102
6894,-0.0258,-0.1405,0.1116
6904,-0.0264,-0.1415,0.1090
6914,-0.0257,-0.1409,0.1068
6924,-0.0135,-0.1288,0.1187
6934,-0.0052,-0.1207,0.1258
6944,-0.0228,-0.1382,0.1060
6954,-0.0236,-0.1385,0.1057
6964,-0.0080,-0.1234,0.1220
6974,-0.0082,-0.1239,0.1231
6984,-0.0151,-0.1304,0.1181
6994,-0.0306,-0.1470,0.1006
7004,-0.0527,-0.1680,0.0777
7014,-0.0417,-0.1567,0.0884
7024,-0.0484,-0.1626,0.0810
7034,-0.0405,-0.1552,0.0881
7044,-0.0002,-0.1157,0.1281
7054,-0.0054,-0.1214,0.1236
7064,0.0221,-0.0948,0.1502
7074,0.0118,-0.1036,0.1408
7084,-0.0001,-0.1159,0.1298
7094,0.0002,-0.1161,0.1307
7104,0.0034,-0.1122,0.1339
7114,-0.0048,-0.1205,0.1257
7124,-0.0087,-0.1235,0.1223
7134,-0.0063,-0.1217,0.1245
