tsid,dataset,lat,lon,archive_type,seasonality,value_6ka,uncertainty
M2Lqditl4qyP,Billys.Jacobson.1975,46.2700,265.4500,temp12k,annual,-0.8825,4.4100
RoO1DPJKvcS,BiskupinskieLake.Noryskiewicz.1995,52.7800,17.7300,temp12k,winter+,-0.3823,9.0000
R7DxiAHp0lf,BiskupinskieLake.Noryskiewicz.1995,52.7800,17.7300,temp12k,annual,0.1189,4.4100
RRKxz11hFqw,BiskupinskieLake.Noryskiewicz.1995,52.7800,17.7300,temp12k,summer+,0.6200,4.0000
T2L_BJ8_03_10GGC_d18o_ruber_SST_from_d18o_ruber,BJ8_03_10GGC.Linsley.2010,-7.3667,115.2500,temp12k,annual,-0.1457,4.4100
T2L_BJ8_03_13GGC_mgca_ruber_SST_from_mgca_ruber,BJ8_03_13GGC.Linsley.2010,-7.4000,115.2000,temp12k,annual,0.5969,3.6100
T2L_BJ8_03_13GGC_d18o_ruber_SST_from_d18o_ruber,BJ8_03_13GGC.Linsley.2010,-7.4000,115.2000,temp12k,annual,0.0926,4.4100
T2L_BJ8_03_70GGC_mgca_ruber_SST_from_mgca_ruber,BJ8_03_70GGC.Linsley.2010,-3.5667,119.3833,temp12k,annual,1.0063,3.6100
T2L_BJ8_03_70GGC_d18o_ruber_SST_from_d18o_ruber,BJ8_03_70GGC.Linsley.2010,-3.5667,119.3833,temp12k,annual,0.5384,4.4100
RqsDm6bDZwv,BledowoLake.Binka.1988,52.5500,20.6700,temp12k,winter+,0.2833,9.0000
R2yzkU2ca31,BledowoLake.Binka.1988,52.5500,20.6700,temp12k,annual,0.1622,4.4100
RY3BFo7yFd7,BledowoLake.Binka.1988,52.5500,20.6700,temp12k,summer+,0.0412,4.0000
WEBa7012dcb,BloodPond.Marsicek.2013,42.0800,288.0400,temp12k,summer+,0.8492,4.0000
WEBccdb4e35,BloodPond.Marsicek.2013,42.0800,288.0400,temp12k,winter+,0.1914,9.0000
WEBf9c0d6bd,BloodPond.Marsicek.2013,42.0800,288.0400,temp12k,annual,0.9449,4.4100
M2L4hu4h69oP,BN7Lake.Gajewski.1991,55.0100,286.4800,temp12k,summer+,0.2711,4.0000
M2L31m0leecP,BN7Lake.Gajewski.1991,55.0100,286.4800,temp12k,winter+,-0.6421,9.0000
M2L3m70t46oP,BN7Lake.Gajewski.1991,55.0100,286.4800,temp12k,annual,-0.4075,4.4100
RwXhHQgpW2u,BoehnigseeGoldmoos.Markgraf.1969,46.2600,7.8400,temp12k,winter+,-1.8381,9.0000
R4NdhyHXypE,BoehnigseeGoldmoos.Markgraf.1969,46.2600,7.8400,temp12k,annual,0.1743,4.4100
R8v7DcuyImX,BoehnigseeGoldmoos.Markgraf.1969,46.2600,7.8400,temp12k,summer+,2.1868,4.0000
RST39AsmE0I,BolshieToroki.Zhilich.2017,55.3900,80.6200,temp12k,summerOnly,0.4153,4.0000
M2LzulrgduaP,Boone.White.1986,55.5800,240.5700,temp12k,summer+,0.8889,4.0000
M2Lp5wggipyP,Boone.White.1986,55.5800,240.5700,temp12k,winter+,0.6036,9.0000
M2Lxytve3doP,Boone.White.1986,55.5800,240.5700,temp12k,annual,0.6368,4.4100
M2L85y6l8ijP,BorderBeacon.Lamb.1985,55.3300,296.8000,temp12k,summer+,0.9480,4.0000
M2Lzz22ieh1P,BorderBeacon.Lamb.1985,55.3300,296.8000,temp12k,winter+,-3.5711,9.0000
M2Lmp6pxlgjP,BorderBeacon.Lamb.1985,55.3300,296.8000,temp12k,annual,-1.3566,4.4100
M2Lg3t60401P,BoundaryPond.Mott.1977,45.5700,289.3200,temp12k,summer+,1.0574,4.0000
M2L89zd8ncqP,BoundaryPond.Mott.1977,45.5700,289.3200,temp12k,winter+,0.8699,9.0000
M2L4wwg6oi5P,BoundaryPond.Mott.1977,45.5700,289.3200,temp12k,annual,1.0505,4.4100
WEB0c142d5f,BrayaSo.vonGunten.2012,66.9875,308.9667,temp12k,summerOnly,-0.3021,4.4100
R5TK1pF5QBE,Breitnau-Neuhof.Roesch.2009,47.9300,8.0700,temp12k,winter+,3.8772,9.0000
RQHbe4cH6UU,Breitnau-Neuhof.Roesch.2009,47.9300,8.0700,temp12k,annual,3.0301,4.4100
RBcRoisjDj1,Breitnau-Neuhof.Roesch.2009,47.9300,8.0700,temp12k,summer+,2.1831,4.0000
PYTIRA0OPDR,brurskardstjorni.Velle.2005,61.4200,8.6700,temp12k,summerOnly,1.8539,1.9600
GH07da367f_SST_from_Uk37,BS79_38.Cacho.2001,38.4000,13.6000,temp12k,annual,-0.3540,
RLud13S5mNI,BuntesMoor.Weirich.1980,47.0000,11.1400,temp12k,winter+,1.1490,9.0000
RLrZViFiuLZ,BuntesMoor.Weirich.1980,47.0000,11.1400,temp12k,annual,1.9709,4.4100
RIy9GX5k0xl,BuntesMoor.Weirich.1980,47.0000,11.1400,temp12k,summer+,2.7927,4.0000
LPDdb9440cb,Cadagno.Niemann.2012,46.5507,8.7139,temp12k,annual,-0.3208,4.4100
M2Le6f1uo55P,Camp11.Brubaker.1975,46.6700,271.9800,temp12k,summer+,1.2084,4.0000
M2L7q0kqi5iP,Camp11.Brubaker.1975,46.6700,271.9800,temp12k,winter+,1.0725,9.0000
M2L215porczP,Camp11.Brubaker.1975,46.6700,271.9800,temp12k,annual,1.1392,4.4100
PYT17LJ7OZ8,CandelabraLake.Cwynar.1995,61.6800,229.3500,temp12k,summer+,0.7808,4.0000
WEBbc9e627b,CandelabraLake.Cwynar.1995,61.6800,229.3500,temp12k,winter+,0.7432,9.0000
RAll4J7F1rY,CandelabraLake.Cwynar.1995,61.6800,229.3500,temp12k,annual,0.7620,4.4100
RrLXMslDM70,CangoCave.Talma.1992,-33.3926,22.2140,temp12k,annual,-0.2543,4.4100
GH14bc173e,CapeGhir.Kim.2007,30.8500,349.7315,temp12k,annual,0.9457,2.8900
M2LsnconpyrP,Caribou-Qubec.Jett.1992,48.2000,295.0600,temp12k,summer+,0.4246,4.0000
M2Lzvyuika0P,Caribou-Qubec.Jett.1992,48.2000,295.0600,temp12k,winter+,-0.2956,9.0000
M2L4201jbr2P,Caribou-Qubec.Jett.1992,48.2000,295.0600,temp12k,annual,0.0733,4.4100
M2L1tucsgyxP,CaribouHill.Lamb.1985,55.6700,296.7500,temp12k,summer+,-0.2106,4.0000
M2Lgu9mli8uP,CaribouHill.Lamb.1985,55.6700,296.7500,temp12k,winter+,-1.2930,9.0000
M2Lmxwfo4uxP,CaribouHill.Lamb.1985,55.6700,296.7500,temp12k,annual,-0.8166,4.4100
RclKPHfeaEb,CarletonLake.Upiter.2014,64.2572,249.8992,temp12k,summerOnly,0.6285,1.9600
M2Lseyl59f9P,Carp.Whitlock.1985,45.9200,239.1200,temp12k,summer+,1.7245,4.0000
M2Lpkk1erutP,Carp.Whitlock.1985,45.9200,239.1200,temp12k,winter+,4.0640,9.0000
M2Lyvstpj8pP,Carp.Whitlock.1985,45.9200,239.1200,temp12k,annual,2.0533,4.4100
M2Lfgw3jhx9P,CascadeFen.Maher.1963,37.6500,252.1900,temp12k,summer+,-1.0002,4.0000
M2Lgnn5959oP,CascadeFen.Maher.1963,37.6500,252.1900,temp12k,winter+,-0.5097,9.0000
M2Lvhsqfd0bP,CascadeFen.Maher.1963,37.6500,252.1900,temp12k,annual,-0.8114,4.4100
M2Loj175nf5P,Castor.Larouche.NA,46.6100,287.0000,temp12k,summer+,0.8162,4.0000
M2L7knu3zb6P,Castor.Larouche.NA,46.6100,287.0000,temp12k,winter+,1.8019,9.0000
M2Lb1ru7x97P,Castor.Larouche.NA,46.6100,287.0000,temp12k,annual,1.2447,4.4100
RR7iIYb69dm,CC04.Gibb.2015,61.4639,301.9635,temp12k,winter+,-0.4426,1.4400
RmkH7bJsTt4,CC04.Gibb.2015,61.4639,301.9635,temp12k,summer+,-0.1344,2.8900
RxPYP3y92HP,CC04.Gibb.2015,61.4639,301.9635,temp12k,annual,-0.2887,1.4400
RdV4LGpfddw,CF8.Axford.2011,70.5569,291.0481,temp12k,summerOnly,-0.8820,1.9600
M2Lh4fhttxhP,CH2.Garralla.1992,49.6800,285.4200,temp12k,summer+,-0.3411,4.0000
M2L726ed2xjP,CH2.Garralla.1992,49.6800,285.4200,temp12k,winter+,1.3422,9.0000
M2Lkgti4u2yP,CH2.Garralla.1992,49.6800,285.4200,temp12k,annual,-0.1000,4.4100
RVIIY9tLqwu,ChallaLake.Damst.2012,-3.3167,37.7000,temp12k,annual,0.9887,4.4100
Rf9ndgRNF2y,Chaohu.Li.2018,31.5600,117.3900,temp12k,annual,1.9676,4.4100
PYTNKAW5ZDO,Chuna.Jones.2005,67.9500,32.4800,temp12k,summerOnly,0.7353,4.0000
WEB7c7a30a0,Churruca.Caniupan.2014,-53.0300,286.1000,temp12k,summerOnly,1.6766,
RADdNaFf50i,Clapeyret.deBeaulieu.1977,44.1500,7.2400,temp12k,winter+,1.7077,9.0000
Rq20hfvJwc3,Clapeyret.deBeaulieu.1977,44.1500,7.2400,temp12k,annual,2.1009,4.4100
RjaRma7WZui,Clapeyret.deBeaulieu.1977,44.1500,7.2400,temp12k,summer+,2.4941,4.0000
RM0SQ5BKOUx,ClarksJunction.Wilmshurst.2007,-45.7200,170.1200,temp12k,annual,0.2693,4.4100
M2Lb2njsab0P,ClearLakeIA.Baker.1992,43.1300,266.5700,temp12k,summer+,-0.8294,4.0000
M2Lsckwzmv1P,ClearLakeIA.Baker.1992,43.1300,266.5700,temp12k,winter+,-2.5186,9.0000
M2L8muhrctrP,ClearLakeIA.Baker.1992,43.1300,266.5700,temp12k,annual,-1.6296,4.4100
M2Lypiizu4hP,ClearLakeIN.Bailey.1972,41.6400,273.4600,temp12k,summer+,-0.0441,4.0000
M2Lr1vurcfcP,ClearLakeIN.Bailey.1972,41.6400,273.4600,temp12k,winter+,-0.0090,9.0000
M2La3lgwa79P,ClearLakeIN.Bailey.1972,41.6400,273.4600,temp12k,annual,-0.0519,4.4100
M2L70fguskmP,ClearPond.Hussey.1993,33.8000,281.0500,temp12k,summer+,0.2996,4.0000
M2L1mbkfqyoP,ClearPond.Hussey.1993,33.8000,281.0500,temp12k,winter+,0.8620,9.0000
M2Lbtzi9joeP,ClearPond.Hussey.1993,33.8000,281.0500,temp12k,annual,0.6178,4.4100
WEBfc1570c4,CN01.Cheung.2017,30.5619,91.1778,temp12k,annual,2.1514,8.4100
M2Lz8zzjys7P,Coghill.King.1986,53.9000,293.2300,temp12k,summer+,0.8914,4.0000
M2Ls8oc7swkP,Coghill.King.1986,53.9000,293.2300,temp12k,winter+,2.8092,9.0000
M2L511e6mjbP,Coghill.King.1986,53.9000,293.2300,temp12k,annual,1.4185,4.4100
M2Lakkznb6iP,Compass.Macpherson.1986,50.0300,303.8000,temp12k,summer+,1.3152,4.0000
M2L3k86dnu3P,Compass.Macpherson.1986,50.0300,303.8000,temp12k,winter+,0.6155,9.0000
M2Lfqrx9sloP,Compass.Macpherson.1986,50.0300,303.8000,temp12k,annual,1.2152,4.4100
M2Lz7ewxd8jP,Copley.Fall.1997,38.8700,252.9200,temp12k,summer+,0.0889,4.0000
M2Lv02p3n8eP,Copley.Fall.1997,38.8700,252.9200,temp12k,winter+,-0.0444,9.0000
M2L4attyxxdP,Copley.Fall.1997,38.8700,252.9200,temp12k,annual,0.0047,4.4100
M2Lhri5d4vvP,CottonwoodLake.Grimm.1987,44.8400,260.0900,temp12k,summer+,1.4102,4.0000
M2Ldae73dbnP,CottonwoodLake.Grimm.1987,44.8400,260.0900,temp12k,winter+,6.2332,9.0000
M2Lwg7wsrd5P,CottonwoodLake.Grimm.1987,44.8400,260.0900,temp12k,annual,3.2214,4.4100
M2Lyc9a2r23P,CottonwoodPassPond.Fall.1997,38.8300,253.5900,temp12k,summer+,0.9811,4.0000
M2Lse70i8puP,CottonwoodPassPond.Fall.1997,38.8300,253.5900,temp12k,winter+,1.4133,9.0000
M2L8nwh67cmP,CottonwoodPassPond.Fall.1997,38.8300,253.5900,temp12k,annual,1.2293,4.4100
M2L2322dg93P,Cranberry.McAndrews.NA,44.1000,281.9000,temp12k,summer+,-0.4042,4.0000
M2Ltp1i0aflP,Cranberry.McAndrews.NA,44.1000,281.9000,temp12k,winter+,0.3049,9.0000
M2Loy7jz53zP,Cranberry.McAndrews.NA,44.1000,281.9000,temp12k,annual,-0.1394,4.4100
T2L_D13882_uk37_SST_from_uk37,D13882.Tierney,38.6345,350.5458,temp12k,annual,2.2605,2.8900
WEBddd2abef,DajiuhuPeatland.Huang.2013,31.4667,110.0000,temp12k,annual,2.6398,
PYTPSOT4O3M,Dalene.Seppa.2009,58.2500,8.0000,temp12k,summerOnly,1.0385,4.0000
PYTU4TX1ZVV,Dalmutladdo.Bjune.2004,69.1700,20.7200,temp12k,winter+,0.2621,9.0000
PYT7CTPU3HQ,Dalmutladdo.Bjune.2004,69.1700,20.7200,temp12k,summer+,0.8797,4.0000
RJ46xwfMboE,Dalmutladdo.Bjune.2004,69.1700,20.7200,temp12k,annual,0.5709,4.4100
RLVhTGXvCnW,DANA12_11_2_GC01.VanNieuwenhove.2018,61.6089,339.2973,temp12k,annual,-0.3587,1.4400
RsPmeLbF4Xj,DarzlubieForest.Polska-JasiewiczOwa.1996,54.7000,18.1700,temp12k,winter+,2.4433,9.0000
REW23yVFq2c,DarzlubieForest.Polska-JasiewiczOwa.1996,54.7000,18.1700,temp12k,annual,2.2436,4.4100
RhceG5t19e4,DarzlubieForest.Polska-JasiewiczOwa.1996,54.7000,18.1700,temp12k,summer+,2.0438,4.0000
M2Lnwn70cm8P,DavisLake.Barnosky.1981,42.1400,286.5900,temp12k,summer+,-0.9447,4.0000
M2Lb65zci5bP,DavisLake.Barnosky.1981,42.1400,286.5900,temp12k,winter+,-3.1967,9.0000
M2Lqsgb2az4P,DavisLake.Barnosky.1981,42.1400,286.5900,temp12k,annual,-2.1324,4.4100
M2Lqdc73rb2P,Decoy.Szeicz.1991,43.2300,279.6300,temp12k,summer+,-0.4500,4.0000
M2Lagkzn1giP,Decoy.Szeicz.1991,43.2300,279.6300,temp12k,winter+,-0.2642,9.0000
M2Lhd1b9ejrP,Decoy.Szeicz.1991,43.2300,279.6300,temp12k,annual,-0.4134,4.4100
M2Larzon6irP,Delorme1.Bouchard.1982,54.4200,290.0800,temp12k,summer+,0.6076,4.0000
M2Lfauth4q5P,Delorme1.Bouchard.1982,54.4200,290.0800,temp12k,winter+,-1.7014,9.0000
M2LfdkrvgyhP,Delorme1.Bouchard.1982,54.4200,290.0800,temp12k,annual,-2.9925,4.4100
M2L1rw0lmbhP,Delorme2.Bouchard.1982,54.4200,290.0700,temp12k,summer+,1.0910,4.0000
M2L8d6q9w3tP,Delorme2.Bouchard.1982,54.4200,290.0700,temp12k,winter+,-0.8284,9.0000
M2LqxikmeduP,Delorme2.Bouchard.1982,54.4200,290.0700,temp12k,annual,-1.2519,4.4100
RvZFkpE8BK4,Deltasoe.Axford.2019,76.7595,292.3900,temp12k,summerOnly,2.3587,1.9600
M2L3l1fqhcvP,Demont.Kapp.NA,43.4800,275.0000,temp12k,summer+,1.0988,4.0000
M2Ldwjqir4jP,Demont.Kapp.NA,43.4800,275.0000,temp12k,winter+,2.7867,9.0000
M2Lvlvf54mwP,Demont.Kapp.NA,43.4800,275.0000,temp12k,annual,1.8742,4.4100
WEBfb6b61e3,DempsterPeatland.Porter.2019,65.2100,221.6800,temp12k,summerOnly,0.0893,4.4100
M2Lycyl84kiP,Devils.Shuman.2016,43.4200,270.2700,temp12k,summer+,0.3194,4.0000
M2Lgulwr3fmP,Devils.Shuman.2016,43.4200,270.2700,temp12k,winter+,0.4795,9.0000
M2Lmcalxjr0P,Devils.Shuman.2016,43.4200,270.2700,temp12k,annual,0.3635,4.4100
M2Leb83o3ngP,DevonIslandGlacier.McAndrews.1984,75.3500,277.5000,temp12k,summer+,-1.9121,4.0000
M2Ln0os2orwP,DevonIslandGlacier.McAndrews.1984,75.3500,277.5000,temp12k,winter+,-0.9954,9.0000
M2Lp7ovi4zuP,DevonIslandGlacier.McAndrews.1984,75.3500,277.5000,temp12k,annual,-1.7365,4.4100
PYTQGF9UT2H,DolgoeLake.Wolfe.2000,71.8700,127.0700,temp12k,summerOnly,2.0854,4.0000
Rdf2KmRVOb2,DomeF.Uemura.2018,-77.3167,39.6700,temp12k,annual,0.0532,4.4100
RT9UYffF0r0,Donvold.Nilssen.1983,68.1300,13.5800,temp12k,winter+,-9.8504,9.0000
RFnXAgxg0hG,Donvold.Nilssen.1983,68.1300,13.5800,temp12k,annual,-5.9370,4.4100
REFJO9vQCfa,Donvold.Nilssen.1983,68.1300,13.5800,temp12k,summer+,-2.0236,4.0000
M2L9b0h67c3P,Duck.Winkler.1985,41.9300,290.0000,temp12k,summer+,0.0148,4.0000
M2Lhh6f9sm9P,Duck.Winkler.1985,41.9300,290.0000,temp12k,winter+,-0.1281,9.0000
M2Lhauzlyt3P,Duck.Winkler.1985,41.9300,290.0000,temp12k,annual,-0.0701,4.4100
RfEoNTrvsy9,Dura-Moor.Seiwald.1980,46.6400,11.4600,temp12k,winter+,2.0322,9.0000
RmWAcZM7Ri5,Dura-Moor.Seiwald.1980,46.6400,11.4600,temp12k,annual,2.5988,4.4100
RPm77pxTowD,Dura-Moor.Seiwald.1980,46.6400,11.4600,temp12k,summer+,3.1653,4.0000
